mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,NSP,abserrPpm,sumintens,relativeintens,avemass,dbe_o,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
8.75,6940642,213.076853,213.076847,-0.006,-0.027,C21H12O11,10,13,0,5,0,14,1.4,0.5,22,0,0.027,74423097888,0.001086906,417.4783194,-1,0.2,4,-0.4,0.161076511,213,1.577533798,211,0.048143909,213,0.144587014,213,0.126113039,213
408.91,6364401,213.131757,213.13186,0.103,0.485,C23H26O8,12,21,0,1,1,22,1.833333333,0.083333333,26,1,0.485,74423097888,2.92E-05,417.4783194,1,0.047619048,2,-1.5,0.106124939,213,1.522947932,211,0.00683682,213,0.199617503,213,0.181138758,213
-1000,5424946,215.019704,215.019726,0.022,0.103,C23H24O8,8,7,0,7,0,8,1,0.875,18,0,0.103,74423097888,3.30E-05,417.4783194,-2,0.333333333,5,0.75,0.220366947,215,1.649739786,213,0.106404602,215,0.088083682,215,0.069441257,215
9.1,8935191,215.056115,215.056112,-0.004,-0.018,C22H20O9,9,11,0,6,0,12,1.333333333,0.666666667,20,0,0.018,74423097888,0.0005217,417.4783194,-2,0.166666667,4,0,0.184021576,215,1.613636296,213,0.070039946,215,0.124481249,215,0.105835669,215
-1000,8151337,215.092506,215.092497,-0.008,-0.039,C21H14O10,10,15,0,5,0,16,1.6,0.5,22,0,0.039,74423097888,0.00011542,417.4783194,-2,0.066666667,3,-0.6,0.147677204,215,1.577533798,213,0.033676289,215,0.160877816,215,0.142229082,215
-1000,7390112,217.017714,217.017618,-0.096,-0.443,C22H24O8,8,9,0,5,1,10,1.25,0.625,18,1,0.443,74423097888,2.98E-05,417.4783194,-1,0.111111111,4,0.25,0.224705811,217,1.667359909,215,0.109684566,217,0.086610839,217,0.067795194,217
-1000,12086619,217.035378,217.035376,-0.002,-0.008,C21H18O9,8,9,0,7,0,10,1.25,0.875,18,0,0.008,74423097888,8.53E-05,417.4783194,-3,0.111111111,4,0.5,0.20696764,217,1.649739786,215,0.091936983,217,0.104374484,217,0.0855573,217
341.17,4981900,217.05064,217.050632,-0.007,-0.033,C20H14N4O6,12,9,0,4,0,10,0.833333333,0.333333333,26,0,0.033,74423097888,0.000121054,417.4783194,4,0.6,8,-0.166666667,0.191728675,217,1.634602237,215,0.076689932,217,0.119635334,217,0.100816827,217
15.35,10500128,217.071768,217.071762,-0.007,-0.03,C21H22O8,9,13,0,6,0,14,1.555555556,0.666666667,20,0,0.03,74423097888,0.000230963,417.4783194,-3,0,3,-0.222222222,0.170622269,217,1.613636296,215,0.055572327,217,0.140772052,217,0.121951713,217
263.6,20076546,217.087009,217.087018,0.009,0.041,C20H18O9,13,13,0,3,0,14,1.076923077,0.230769231,28,0,0.041,74423097888,4.67E-05,417.4783194,4,0.47826087,7,-0.615384615,0.155383304,217,1.598498747,215,0.040325276,217,0.156032902,217,0.13721124,217
-1000,2934246,219.029917,219.029897,-0.021,-0.094,C22H24O7,11,7,0,5,0,8,0.727272727,0.454545455,24,0,0.094,74423097888,0.000218875,417.4783194,3,0.647058824,8,0.181818182,0.21467374,219,1.670704735,217,0.098585969,219,0.099529569,219,0.080539458,219
-1000,6586824,219.051039,219.051026,-0.013,-0.058,C21H20O8,8,11,0,7,0,12,1.5,0.875,18,0,0.058,74423097888,8.21E-05,417.4783194,-4,-0.111111111,3,0.25,0.193568333,219,1.649739786,217,0.077469363,219,0.120665286,219,0.101673344,219
62.93,14000525,219.066301,219.066282,-0.018,-0.083,C19H12O10,12,11,0,4,0,12,1,0.333333333,26,0,0.083,74423097888,0.000388333,417.4783194,3,0.5,7,-0.333333333,0.178329368,219,1.634602237,217,0.062222312,219,0.135926137,219,0.116932871,219
533.52,4830677,220.039612,220.039751,0.139,0.631,C21H22O7,6,10,3,4,1,11,1.833333333,0.666666667,17,4,0.631,74423097888,2.87E-05,417.4783194,-1,65535,3,1.333333333,0.205947352,220,1.668691489,218,0.089324349,220,0.109704615,220,0.090626949,220
404.39,13067674,220.987544,220.987381,-0.163,-0.738,C19H14O9,5,5,2,6,1,6,1.2,1.2,14,3,0.738,74423097888,2.75E-05,417.4783194,-2,2,4,2.8,0.259375484,221,1.72841912,219,0.142250229,221,0.05763588,221,0.038476053,221
