Source,Target,Weight,colour
C14H23O4N3,C19H33O7N3,1,2
C16H27O4N1,C21H37O7N1,1,2
C16H14O4N2,C21H24O7N2,1,2
C15H14O3N4,C20H24O6N4,1,2
C12H13O8N1,C17H23O11N1,1,2
C15H13O4N3,C20H23O7N3,1,2
C13H17O7N1,C18H27O10N1,1,2
C16H17O3N3,C21H27O6N3,1,2
C17H21O2N3,C22H31O5N3,1,2
C15H12O5N2,C20H22O8N2,1,2
C15H16O3N4,C20H26O6N4,1,2
C14H11O5N3,C19H21O8N3,1,2
C16H15O5N1,C21H25O8N1,1,2
C15H15O4N3,C20H25O7N3,1,2
C12H19O6N3,C17H29O9N3,1,2
C14H10O6N2,C19H20O9N2,1,2
C12H14O9,C17H24O12,1,2
C15H14O5N2,C20H24O8N2,1,2
C14H14O4N4,C19H24O7N4,1,2
C15H18O3N4,C20H28O6N4,1,2
C15H13O6N1,C20H23O9N1,1,2
C14H13O5N3,C19H23O8N3,1,2
C15H17O4N3,C20H27O7N3,1,2
C14H12O6N2,C19H22O9N2,1,2
C15H16O5N2,C20H26O8N2,1,2
C14H16O4N4,C19H26O7N4,1,2
C15H20O3N4,C20H30O6N4,1,2
C13H11O6N3,C18H21O9N3,1,2
C15H15O6N1,C20H25O9N1,1,2
C14H15O5N3,C19H25O8N3,1,2
C15H19O4N3,C20H29O7N3,1,2
C14H14O6N2,C19H24O9N2,1,2
C14H18O4N4,C19H28O7N4,1,2
C15H22O3N4,C20H32O6N4,1,2
C14H13O7N1,C19H23O10N1,1,2
C15H17O6N1,C20H27O9N1,1,2
C14H17O5N3,C19H27O8N3,1,2
C16H21O5N1,C21H31O8N1,1,2
C17H25O4N1,C22H35O7N1,1,2
C14H16O6N2,C19H26O9N2,1,2
C14H20O4N4,C19H30O7N4,1,2
C15H24O3N4,C20H34O6N4,1,2
C14H15O7N1,C19H25O10N1,1,2
C17H15O3N3,C22H25O6N3,1,2
C15H19O6N1,C20H29O9N1,1,2
C16H23O5N1,C21H33O8N1,1,2
C13H18O5N4,C18H28O8N4,1,2
C14H22O4N4,C19H32O7N4,1,2
C13H13O8N1,C18H23O11N1,1,2
C16H13O4N3,C21H23O7N3,1,2
C15H21O6N1,C20H31O9N1,1,2
C14H21O5N3,C19H31O8N3,1,2
C16H25O5N1,C21H35O8N1,1,2
C16H16O3N4,C21H26O6N4,1,2
C17H15O5N1,C22H25O8N1,1,2
C16H15O4N3,C21H25O7N3,1,2
C16H27O5N1,C21H37O8N1,1,2
C16H14O5N2,C21H24O8N2,1,2
C12H18O6N4,C17H28O9N4,1,2
C16H18O3N4,C21H28O6N4,1,2
C16H13O6N1,C21H23O9N1,1,2
C15H13O5N3,C20H23O8N3,1,2
C14H13O4N5,C19H23O7N5,1,2
C16H17O4N3,C21H27O7N3,1,2
C15H12O6N2,C20H22O9N2,1,2
C16H16O5N2,C21H26O8N2,1,2
C15H16O4N4,C20H26O7N4,1,2
C16H20O3N4,C21H30O6N4,1,2
C16H15O6N1,C21H25O9N1,1,2
C15H15O5N3,C20H25O8N3,1,2
C16H19O4N3,C21H29O7N3,1,2
C12H14O10,C17H24O13,1,2
C15H14O6N2,C20H24O9N2,1,2
C15H18O4N4,C20H28O7N4,1,2
C13H22O7N2,C18H32O10N2,1,2
C16H22O3N4,C21H32O6N4,1,2
C15H17O5N3,C20H27O8N3,1,2
C14H17O4N5,C19H27O7N5,1,2
C14H12O7N2,C19H22O10N2,1,2
C15H16O6N2,C20H26O9N2,1,2
C14H16O5N4,C19H26O8N4,1,2
C15H20O4N4,C20H30O7N4,1,2
C16H19O6N1,C21H29O9N1,1,2
C14H19O4N5,C19H29O7N5,1,2
C15H22O4N4,C20H32O7N4,1,2
C16H26O3N4,C21H36O6N4,1,2
C15H17O7N1,C20H27O10N1,1,2
C18H17O3N3,C23H27O6N3,1,2
C17H25O5N1,C22H35O8N1,1,2
C13H16O6N4,C18H26O9N4,1,2
C14H20O5N4,C19H30O8N4,1,2
C15H24O4N4,C20H34O7N4,1,2
C14H15O8N1,C19H25O11N1,1,2
C17H15O4N3,C22H25O7N3,1,2
C18H19O3N3,C23H29O6N3,1,2
C17H27O5N1,C22H37O8N1,1,2
C16H14O4N4,C21H24O7N4,1,2
C17H17O4N3,C22H27O7N3,1,2
C14H21O6N3,C19H31O9N3,1,2
C16H25O6N1,C21H35O9N1,1,2
C17H29O5N1,C22H39O8N1,1,2
C17H16O5N2,C22H26O8N2,1,2
C13H20O6N4,C18H30O9N4,1,2
C17H20O3N4,C22H30O6N4,1,2
C17H15O6N1,C22H25O9N1,1,2
C16H15O5N3,C21H25O8N3,1,2
C15H15O4N5,C20H25O7N5,1,2
C16H14O6N2,C21H24O9N2,1,2
C15H14O5N4,C20H24O8N4,1,2
C17H18O5N2,C22H28O8N2,1,2
C16H18O4N4,C21H28O7N4,1,2
C17H22O3N4,C22H32O6N4,1,2
C17H17O6N1,C22H27O9N1,1,2
